OMSTenantId,outHasActiveO365,DeletedUserCnt,EnabledUsers,NumProvisionedDesktop,NumProvisionedMobile,AvgSpoDays,AvgDaysUsedPublisher,AvgDaysUsedAccess,AvgDaysUsedOneNote,AvgDaysUsedPpt,AvgDaysUsedWord,AvgDaysUsedExcel,AvgEmailDays,AvgDaysUsedSkype,AvgDaysEmailLinkedin,AvgDaysEmailTwitter,AvgDaysEmailFb,AvgDaysEmailApple,AvgDaysEmailAmazon,AvgDaysEmailPayPal,AvgDaysEmailDropBox,HasReadGmail,NumExternalEmailsRcvd,NCustomDomains,NumPaidSubscriptions,IsAtRiskGroup,TenureFirstPaid,O365SmbIsAutoRenew,O365SmbChannelType
7d545182-bba0-44c2-8850-54093b8d1962,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,23.09210526,1,Direct
00036d6b-3e0e-4a73-af5d-0c08a2ac23ca,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.565789474,1,Reseller
7d547945-096e-4e53-814b-2d87d81662fe,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.197368421,1,Syndication
0003c08f-48e5-4d5a-88fa-2c9a88162ced,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10.55921053,1,Direct
7d547ae2-957c-4121-b75f-1e1fdca1137f,1,0,1,2,0,0,0,0,0,0,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.875,1,Reseller
0003de47-bc34-42af-bfd1-935aa09b0fd7,1,0,1,3,1,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,37.07236842,1,Direct
7d548914-b1c6-4122-917c-7b6f097140aa,1,1,1,2,0,0,0,0,0,0.666666667,1.333333333,2,15,0,0,0,0,0,0,0,0,1,2,1,2,1,33.55263158,1,Syndication
0004287c-a8bd-4f2b-a26f-46802b5ae511,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22.59868421,1,Direct
7d55772b-5dae-4713-9681-638241fe0c50,1,0,1,2,0,0,0,0,0,0,7,7,11,0,0,0,0,0,0,0,0,0,0,1,2,1,19.40789474,1,Direct
0004519d-c694-46d0-8490-961f1da9fd33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,51.94078947,1,Direct
7d55f87e-1432-4c3e-a3b2-c04a386d3e81,1,1,1,2,0,0,0,0,0,0,4,0,25,0,0,0,0,0,3,0,0,1,22,1,2,1,10.46052632,1,Syndication
00047c52-0153-4a03-9616-1d1c761ac793,1,0,1,4,0,0,0,0,0,0.25,12.75,12.25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.072368421,1,Direct
7d55fea0-b89e-4462-bffe-35fe6ca51a6a,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,37.17105263,1,Direct
0004930f-8fda-4cbc-9cb8-c6262ba040c4,1,0,1,3,0,0,0,0,2.5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,1,31.54605263,1,Direct
7d560842-c9ce-42c4-95b2-5dd58962af4c,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.184210526,1,Syndication
0004ac44-51b9-4096-8eaf-87f32d6cf7d0,1,0,1,3,0,0,0,0,0,0,5.5,10,23,0,0,0,0,0,0,0,0,0,4,1,2,0,38.94736842,1,Reseller
7d564a38-48f3-4534-84dc-294dab3a43f6,1,0,1,5,0,0,1.5,0,0,0,1.833333333,5.666666667,0,0,0,0,0,0,0,0,0,0,0,0,2,0,46.90789474,1,Direct
0004d910-70fd-4f84-b7b4-e853cb35dfe6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,32.10526316,1,Reseller
7d564d4b-85d2-4b4d-926b-f27a8addf24e,1,0,1,1,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,12.89473684,1,Reseller
0004e33d-d26b-4b6d-a73b-5d0dea46e428,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,38.28947368,1,Direct
7d5675f8-cf67-43e5-9a4c-7e2b6e31764a,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30.95394737,1,Direct
00050211-ea4c-4c26-acab-065c4ef77c65,1,0,1,2,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,19.40789474,1,Reseller
7d567b70-1b64-4378-9f0a-56ae7bcf00dc,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7.368421053,1,Reseller
000519e9-d7fc-49c1-b0ae-fe594ca14a05,1,0,1,2,2,0,0,0,0,1.5,1,1.5,6,0,0,0,0,0,0,0,0,0,3,1,3,0,29.24342105,1,Syndication
7d569101-2dfa-4aa2-84b4-e3b83f2f5600,1,0,1,3,0,0,1.333333333,0,0.333333333,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18.61842105,1,Direct
0005548d-cf3f-4dff-aed3-9610acc55a31,1,0,1,3,0,0,0,0,0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.71710526,1,Direct
